"Title","Severity","Published At","Diclosed At","Affected CSPs","URL","Source"
"Azure AD Seamless SSO logging bypass","Low","2021/09/29","2021/06/29","Azure","https://www.cloudvulndb.org/aad-seamless-sso-log-bypass","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/aad-seamless-sso-log-bypass.yaml"
"ACSESSED","Medium","2022/12/22","2022/02/23","Azure","https://www.cloudvulndb.org/acsessed","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/acsessed.yaml"
"Public admin access to Azure's Red Hat Update Infrastructure","Low","2016/11/26","2016/11/26","Azure","https://www.cloudvulndb.org/admin-azure-rh-update-infrastructure","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/admin-azure-rh-update-infrastructure.yaml"
"AI Hub Jupyter Notebook instance CSRF","Medium","2020/10/17","2020/03/10","GCP","https://www.cloudvulndb.org/ai-hub-jupyter-csrf","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/ai-hub-jupyter-csrf.yaml"
"ALB HTTP request smuggling","Medium","2019/10/04","2019/10/04","AWS","https://www.cloudvulndb.org/alb-http-smuggling","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/alb-http-smuggling.yaml"
"AWS published official AMIs with recoverable deleted files","Low","2011/06/04","2011/06/04","AWS","https://www.cloudvulndb.org/ami-recoverable-files","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/ami-recoverable-files.yaml"
"API Management SSRF and path traversal vulnerabilities","High","2023/05/04","2022/12/21","Azure","https://www.cloudvulndb.org/api-mgmt-ssrf-path-traversal","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/api-mgmt-ssrf-path-traversal.yaml"
"Oracle Apiary SSRF","Low","2022/02/08","2022/02/08","OCI","https://www.cloudvulndb.org/apiary-ssrf","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/apiary-ssrf.yaml"
"App Runner cross-tenant observability config info leak","Low","2023/04/03","2023/02/28","AWS","https://www.cloudvulndb.org/app-runner-observability","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/app-runner-observability.yaml"
"App Runner cross-tenant VPC connectors info leak","Low","2023/04/03","2023/02/28","AWS","https://www.cloudvulndb.org/app-runner-vpc-connectors","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/app-runner-vpc-connectors.yaml"
"Asset Key Thief","Medium","2023/04/19","2023/02/07","GCP","https://www.cloudvulndb.org/asset-key-thief","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/asset-key-thief.yaml"
"3rd party vendor confused deputy via AssumeRole","Medium","2016/11/16","2016/11/16","AWS","https://www.cloudvulndb.org/assumerole-confused-deputy","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/assumerole-confused-deputy.yaml"
"AttachMe","High","2022/09/20","2022/06/09","OCI","https://www.cloudvulndb.org/attachme","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/attachme.yaml"
"AutoWarp","Critical","2022/03/07","2021/12/06","Azure","https://www.cloudvulndb.org/autowarp","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/autowarp.yaml"
